userName,content,score,at,appVersion,sentiment,processed_content
Bryan Wardhana,ok,5,2022-04-20 02:43:18,4.36.1,positive,ok
Handrias Kurniantoro,Baguss sangat membantu,5,2022-04-17 12:57:26,4.40.1,positive,baguss bantu
Bahar Bahari,aamiin,5,2021-11-12 22:37:12,4.31.1,positive,aamiin
Ikutrame Channel,Ok gampang dan banyak promonya,5,2023-08-16 11:02:57,4.66.1,positive,ok gampang promonya
Bakuel Teri,Ongkir gofood makin mahal,3,2024-01-26 00:01:34,4.81.2,negative,ongkir gofood mahal
tuti gartika,Gojekindonesia sangat membantu dalam perjalalan saya dan juga go food nya,5,2023-06-12 05:53:18,4.68.1,positive,gojekindonesia bantu jalal go food
Mene Thony,Keren banget,4,2023-04-05 07:30:38,4.64.2,positive,keren banget
Mancing Liaran,Aplikasi yang sangat membantu untuk kita yang mager,5,2023-11-13 04:55:54,4.78.3,positive,aplikasi bantu mager
Rayhan faluvi,uang saya nyangkut ketika top up nomor sudah bukan sebagai sim card ko tidak bisa diganti ke yg baru,3,2021-11-20 09:06:35,4.32.1,neutral,uang nyangkut top up nomor sim card ko ganti
Lola Fitriani,Jujur,5,2021-12-28 08:48:02,4.26.1,positive,jujur
AR ROBBANI realigi,Mantul banget,5,2021-11-23 01:47:51,4.25.2,positive,mantul banget
Alfianda aal,mantap,5,2022-01-08 08:49:25,4.34.1,positive,mantap
Samuel Eko Wijaya,Pengemudinya sangat ramah dan sangat hati dalam berkendara,5,2023-06-28 09:48:07,4.68.1,positive,mud ramah hati kendara
Kurni Ati,mantapp,5,2023-08-01 03:01:05,4.68.1,positive,mantapp
Kamilia 48,Bagus banget,5,2022-04-14 09:59:03,4.36.1,positive,bagus banget
Andre Bestiyan,DRIVER GAK SOPAN DAN SERING KALI ATITUDE NYA JELEK,1,2023-07-08 10:03:10,4.69.2,negative,driver sopan atitude jelek
Karta Wijaya,0 7ffb,1,2023-09-05 02:58:38,4.70.1,negative,ffb
Neng Riska,Mending beli langsung ketempat daripada pesen lewat GOJEK harga ditempat jauh lebih murah daripada haraga pesen lewat aplikasi ini trus klo ditotalin ongkir  jasa lain2 nya hamoir seharga sama barang yg dipesan gak bjsa dibatalin lagi saya kecewa mending Grab Food aja lebih bersahabat,1,2022-11-23 14:31:15,4.50.1,negative,mending beli tempat sen gojek harga tempat murah haraga sen aplikasi trus ditotalin ongkir jasa hamoir harga barang pes bjsa dibatalin kecewa mending grab food aja sahabat
William Androfsan,tingkatkan pelayanan dari drivernya jangan galak galak,4,2023-08-16 03:00:57,4.72.1,positive,tingkat layan drivernya galak galak
Hermi Yulianti,Alhamdulillah dgn adanya gojek sangat membantu aq jd lebih mudah,5,2022-03-04 02:33:29,4.38.2,positive,alhamdulillah gojek bantu aq mudah
Galuh Ayrin,Aplikasi nya kenapa yahh saya mau pesan makanan tapi malah bilang ada masalah di akun anda di suruh telpon tapi pas saya cek akun gk ada kendala apapun tolong di perbaiki lagi dong,1,2022-08-07 04:38:54,4.48.1,negative,aplikasi yahh pesan makan bilang akun suruh telpon pas cek akun kendala apa tolong baik
Skyyy Longgz,Aplikasi yang sangat membantu untuk kehidupan seharihari,5,2022-06-09 12:15:11,4.45.1,positive,aplikasi bantu hidup seharihari
Rodef Tora,Sangat membantu rakyat kecil,5,2022-10-24 17:34:10,4.54.2,positive,bantu rakyat
Mega Silvia Linsang,Mantul sekali,5,2022-03-05 02:35:37,4.34.1,positive,mantul
Rin Bee,Semenjak ada gocar hemat jdi tidak nyaman dalam menggunakan jasa angkutan aplikasi ini  lbih baik kembali hrga normal dari pada perjalanan tidak nyaman  Sangat tidak efektif lbih baik menggunakan mitra lain murah yg mmng jlas tidak jauh dlam penjemputan dan tnpa hrs menunggu lama ,1,2023-08-04 11:20:10,4.71.3,negative,semenjak gocar hemat jdi nyaman jasa angkut aplikasi lbih hrga normal jalan nyaman efektif lbih mitra murah mmng jlas dlam jemput tnpa tunggu
GS GALUNGGUNG SUNDA,Wah parah masa ada biaya bungkus makananbeli nasi padang bungkusnya bayar sm gojekkan itumah paket nasi ungkus penjual mulai ngaco ni,1,2022-02-15 18:07:29,4.37.1,negative,parah biaya bungkus makananbeli nasi padang bungkus bayar gojek itumah paket nasi ungkus jual ngaco ni
Azam Maulana,Sangat membantu,5,2022-03-18 06:06:32,4.25.2,positive,bantu
Agus Subeno,Saya mau order makanan kenapa sekarang lama sekali ya dapat drivernya dari jam awal saya istirahat makan siang sampe jam masuk kantor masih belum sampai kalau mau pesan sarapan juga lama sekali,2,2023-11-25 05:02:36,4.67.2,negative,order makan drivernya jam istirahat makan siang sampe jam kantor pesan sarap
Rick store,Aplikasi sampah ke block mulu ngen,1,2022-11-21 22:40:54,4.55.2,negative,aplikasi sampah block mulu ngen
Indah Lumingkewas,Sudah pernah pakai gopaylater tapi saat selesai pembayaran tagihan muncul naikan limit namun tidak bisa di proses dan gopaylaternya terkunci sampi tahun depan gak bisa di pake lagi limit yang lamaa payahh,1,2023-08-06 05:10:25,4.71.2,negative,pakai gopaylater selesai bayar tagih muncul naik limit proses gopaylaternya kunci sampi tahun pake limit lamaa payahh
Pengguna Google,Mantap,5,2022-12-17 14:34:40,4.57.1,positive,mantap
Azka Ramadhani,Discone tipu tipu Potongan 25rb Tp nyatanya cuman ongkir dong yg klen potong,1,2023-03-09 05:35:30,4.63.1,negative,discone tipu tipu potong rb cuman ongkir klen potong
Ipoel Part,Iya,5,2021-11-07 20:36:18,4.8.1,positive,iya
Albert Prasetio,Mantap,5,2023-07-25 08:03:39,4.70.1,positive,mantap
Gina sonia Febriya,Mengapa harus di update setiap bulan sih,5,2022-03-25 01:25:29,4.25.2,positive,update sih
Ramdhoni Achmad,Sering lag ,1,2023-12-28 15:49:37,4.80.4,negative,lag
Ch07 Sanusi,Mantap,5,2021-11-25 08:10:08,4.30.1,positive,mantap
Priezta Rahmadhanii,Skg mls bgt ngegofood Ongkir nya mahal bener Biasa 78rb skg bs 20rb Gokil lbh mahal dr pd harga mknannya Mending jl sendiri klo lg ga repot,1,2022-07-04 11:31:59,4.46.2,negative,skg mls banget ngegofood ongkir mahal rb skg bs rb gokil lbh mahal harga mknannya mending jl repot
Sigit Ismail,Aplikasi yg sangat membantu,5,2022-03-01 13:02:36,4.27.2,positive,aplikasi bantu
Dediyaa Diyya,Kesel banget klo lg gofood trs driver hampir sampe tiba aplikasi suka keluar tiba pdhl internet lancar Tolong di perbaiki lagi gojek nya Saya kecewa sebagai penguna gojek,1,2023-07-30 04:21:21,4.71.2,negative,kesel banget gofood trs driver sampe aplikasi suka pdhl internet lancar tolong baik gojek kecewa penguna gojek
Suri Ani,Terhebat,5,2022-03-01 07:18:01,4.26.1,positive,hebat
Al Wanita Imani Hikmatuprilla,Kalo pesan gofood seringnya gak sesuai,1,2023-08-21 00:54:03,4.72.1,negative,pesan gofood sesuai
Nur jaya,Ok,5,2022-08-03 02:09:40,4.40.1,positive,ok
Samsung Galaxy,Ketika ingin lokasi tujuan error parah tdk bisa ganti lokasi tujuan Error,2,2022-08-12 04:38:10,4.49.2,negative,lokasi tuju error parah ganti lokasi tuju error
Frida Maira,Sangat puas dengan layanan gojek bintang1,5,2022-06-28 15:38:58,4.46.1,positive,puas layan gojek bintang
Ari Doang,Tolong untuk gojek ubah sistem verifikasi untuk ganti nomer lama dan baru seperti yang dulu jangan sistem sekarang inii,3,2023-07-18 07:53:37,4.69.3,neutral,tolong gojek ubah sistem verifikasi ganti nomer sistem ini
Aswin Kurniawan,Langganan ERROR,1,2022-03-06 04:19:56,4.38.2,negative,langgan error
boruto kun,Mantap,5,2022-08-24 09:03:55,4.50.1,positive,mantap
Syaipul Adhar Channel,Tetap l3bih murah,5,2022-09-16 01:26:35,4.51.1,positive,lbih murah
dwi imut,Suka sih cuman jarang promo,3,2023-04-20 07:46:19,4.65.2,positive,suka sih cuman jarang promo
Julia Maharani Putri,Aplikasi gojek berguna bangett bantu banget untuk menunjang aktivitas sehari,5,2023-06-30 05:02:18,4.68.1,positive,aplikasi gojek guna bangett bantu banget tunjang aktivitas hari
SyarifudHaeka Pasar,mantap,5,2023-02-26 04:41:09,4.61.1,positive,mantap
Siswanto Jenior,Aplikasi gopayleter tidak pernah di stujui,1,2023-08-06 20:48:24,4.71.3,negative,aplikasi gopayleter stujui
zy pomade,bagus,5,2022-04-04 14:12:27,4.40.1,positive,bagus
Nabil Tatto,ok,5,2022-11-25 16:49:29,4.56.1,positive,ok
Pengguna Google,Gojeg skrg loading mana mahal lagi beda bgt kyak awal2 pesen gofood juga ongkirnya parah ,1,2023-04-27 12:57:52,4.65.2,negative,gojeg skrg loading mahal beda banget kyak sen gofood ongkirnya parah
Yuli Yanti,Bagus,5,2022-10-16 23:35:53,4.53.1,positive,bagus
Anggy Nurwidiansyah,Sangat membantu sekali,5,2022-07-14 23:23:52,4.47.1,positive,bantu
Christian Nur Fitriani Nicson Sitorus,Apk yang sangat membantu mulai dari kebutuhan transportasi sampai kebutuhan makanan di permudah sama apk ini,5,2023-12-02 12:16:23,4.78.3,positive,apk bantu butuh transportasi butuh makan mudah apk
M Ardiansyah,Ya ampun pagi pagi gojek abis  udah 4x ,1,2022-01-09 22:48:35,4.27.2,negative,ampun pagi pagi gojek habis
sunarso narso,Oyeee,5,2021-11-24 00:44:24,4.31.1,positive,oyeee
Iyos Yos,ini lnh praktis dan baik,5,2022-06-26 11:09:27,4.46.1,positive,lnh praktis
aldoff azhar,Pantesan sekarang di tolak terus mesan go car potongan ke driver terlalu gede sampe 25  saya bayar 96 rb yg terima driver 60rb sadis amat lo bg ke para driver Semenjak saham goto anjlok semua di tabok Wkwkwk,1,2022-11-25 08:24:22,4.55.2,negative,pantesan tolak mesan go car potong driver gede sampe bayar rb terima driver rb sadis bg driver semenjak saham goto anjlok tabok haha
Yusuf Sa,Top,5,2023-12-02 09:43:01,4.78.3,positive,top
Win Nengsih,Good,5,2023-02-19 14:46:47,4.58.1,positive,good
Aditya Nugraha,bagus banget,5,2021-12-13 07:47:32,4.33.1,positive,bagus banget
Indra Pebriansayah,Sangat membantu,5,2022-09-07 00:55:39,4.47.1,positive,bantu
Fara Cantik,Setiap naik gocar gopay sy ditambah potongan 5000 dr harga resminya tanpa sy tau potongan apa seumpamanya harga 39000 gopay sy terpotong 44000harga 41500 dipotong jd 46500sy taunya setelah cek sisa gopaytolong penjelasan dr team gocar,2,2023-01-07 15:52:29,4.58.1,negative,gocar gopay tambah potong harga resmi potong umpama harga gopay potong harga potong tau cek sisa gopaytolong jelas team gocar
Nur prasetyo Gendro,Mudah ramah dan terjangkau,5,2023-09-09 05:33:01,4.74.2,positive,mudah ramah jangkau
Permata Cell,The best,5,2021-11-27 04:08:31,4.32.1,positive,the best
Teguh Rahayu,Kecewa,1,2023-08-03 10:48:55,4.71.2,negative,kecewa
Nuerrf,Terbaik,5,2022-07-14 01:46:49,4.47.1,positive,baik
Hans Skrb,Apl nya bagustetap jaya buat aplikasi nya,5,2021-11-24 11:14:21,4.31.1,positive,apl bagustetap jaya aplikasi
Jo Torres,Mantap,5,2023-01-11 08:18:18,4.40.1,positive,mantap
Ayu wdc,sudah lama bgt pakai gojek tp sekarang tidak pernah dapat promo goFood  perjalanan ,3,2022-02-09 04:33:45,4.36.1,neutral,banget pakai gojek promo gofood jalan
rivaldo korua,akhir2 ini gojek kenapa yaa,3,2022-10-09 13:12:18,4.53.1,neutral,gojek yaa
Dodik Sukmadi,Mantab,5,2022-06-27 11:31:03,4.46.1,positive,mantab
Aprillian Saputra,gojek memang juara tidak ada tandingannya,5,2022-02-19 03:03:11,4.34.1,positive,gojek juara tanding
Abdul Tri Handoko,Mantabbbb,5,2023-09-03 11:42:08,4.64.2,positive,mantabbbb
Eka ruhendi,Nice,5,2023-03-28 04:57:40,4.64.2,positive,nice
Risma Rihana,Top markotopp,5,2022-03-02 17:29:28,4.34.1,positive,top markotopp
saha maneh,Maaf saya sangat kecewa sekali padahal saya pengguna lama customer care gojek kurang sekali dalam menangani masalah melanggar peraturan kebijakan katanya tapi tidak dijelasin kebijakan yang mana atau detailnya seperti apa malah suruh ganti handphone Kalo aktifitas yang mencurigakan itu kan bisa dikonfirmasi ke usernya kalo usernya merasa baik baik saja yaudah kenapa harus device yang dibekukan sementara akun enggak Aneh banget dah,1,2022-07-06 23:58:03,4.46.2,negative,maaf kecewa guna customer care gojek tangan langgar atur bijak dijelasin bijak detail suruh ganti handphone aktifitas curiga konfirmasi usernya usernya yaudah device beku akun aneh banget
A suherman,Membantu mobilitas,5,2022-06-11 04:14:29,4.44.1,positive,bantu mobilitas
Abdul Salam,Tolong dong untuk tarik saldonya di atm bca berikan kebebasan untuk jumlah yang diinginkan costumer,4,2022-08-04 09:54:41,4.45.1,positive,tolong tarik saldo atm bca bebas costumer
Aris Riswandi,Good,5,2022-11-21 15:00:00,4.47.1,positive,good
Rusmiana Damanik,Bagus,5,2022-02-02 05:33:50,4.36.1,positive,bagus
Decky,Ok,5,2022-06-03 21:46:25,4.43.3,positive,ok
paulus dodi,Bos mautanya knpa pas kita mau pasang gopay kode otp ny gk mau msuk ke hp yg baru pdahal gopay di hp yg lama uda di hpus aplikasi ny tlng jlskan apa penyebb nya trmksh,1,2022-04-18 15:31:24,4.41.1,negative,bos mautanya pas pasang gopay kode otp ny msuk hp pdahal gopay hp uda hpus aplikasi ny tlng jlskan penyebb trmksh
edy sudarsono,Bagus Bagus kali Bagus kali pun,5,2023-02-17 11:22:10,4.61.1,positive,bagus bagus bagus
Ary Cerya,Blm pernah dpt potongan  voucher nih ,5,2022-09-12 05:19:03,4.51.1,positive,dpt potong voucher nih
Batam raya engineer Kelistrikan mobil Pekanbaru,Kurang bagus sy kecewa dg druver anda,1,2022-07-19 11:29:18,4.47.1,negative,bagus kecewa dg druver
BORUTO KARAKTER CHANNEL,Gojek mantap,5,2022-07-12 02:21:00,4.47.1,positive,gojek mantap
R17KY M4UL4N1,Terima Kasih Atas Diskonan nya Thanks You Very Much Sukron Jazakumullah Khairan Katsiran Minta Rela Minta Ridho Dunia Wal Akhirat  Minta Rela Pun ,5,2022-07-23 13:45:28,4.47.1,positive,terima kasih diskon thanks you very much sukron jazakumullah khair katsiran rela ridho dunia wal akhirat rela
Rifay Djuka,Saya sudah 2 ganti nomor kenapa akun gopay saya di blokir untuk sistem transaksi,1,2023-03-10 16:17:56,4.62.2,negative,ganti nomor akun gopay blokir sistem transaksi
Ani Hit,Terimah kasih,5,2022-02-27 13:15:53,4.36.1,positive,terimah kasih
Syaifuddin Yunus,Driver ok tau jln lebih dekat,5,2023-03-04 04:33:18,4.42.2,positive,driver ok jln
Chaerul Latif,Oke banget,5,2022-06-22 22:07:19,4.45.1,positive,oke banget
Fajar Nugraha,Masih ada yg kurang dari go jek,4,2021-11-17 13:14:41,4.32.1,positive,go jek
Muhamad rizki Nur fauzi,Pyas bangetttt,5,2022-01-01 05:23:29,4.32.1,positive,pyas bangetttt
Febby Andayanti,Udah lama pake gojek tapi akhir2 ini jadi gak bener map gak bener pelayanan gojekgofood d karawang juga gak bagus skrang aplikasinya sring eror pesen gofod aja driver ganti ampe 3 ampe 5 kali Kantun2 aing ngisi gopay tapi teu bisa di pake da driver na areuweuh ti teuleum sugan mah Kamarana yeuh supir2 atuuh geus teu laku emang nyah Ganti aplikasi lah guys udh semakin jelek pelayanannya segitu banyak yg protes ge gaada improve sama sekali,1,2021-11-18 11:14:31,4.31.1,negative,pake gojek map layan gojekgofood karawang bagus skrang aplikasi sring eror sen gofod aja driver ganti ampe ampe kantun aing ngisi gopay teu pake da driver na areuweuh ti teuleum sugan mah kamarana yeuh supir atuuh geus teu emang nyah ganti aplikasi guys jelek layan segitu protes ge gaada improve
Dimas Novriansyah,Mantap Jiwa ,5,2022-04-12 08:02:12,4.40.1,positive,mantap jiwa
Nurul Hanifah,membantu,4,2022-07-18 02:34:32,4.47.1,positive,bantu
Dian Putri,Tapi semakin lama pakai gojek  ongkirnya kadang gak msuk akal tiba tinggi nominal ongkirnya,4,2022-08-29 13:31:12,4.50.1,positive,pakai gojek ongkirnya kadang msuk akal tinggi nominal ongkirnya
Bella Aldama,Anda mengerti apa yang negara ini butuhkan,5,2022-05-10 14:34:07,4.29.1,positive,erti negara butuh
Uwa Utang,Ol,5,2022-11-16 07:19:09,4.55.2,positive,ol
Muchlis Jody,Bagus,5,2022-04-01 10:50:15,4.40.1,positive,bagus
Asyifa Nur Ramadhani,Aplikasi nya bagus bgt tapi GK ada diskonn buat anak sekolah ,4,2022-01-03 07:21:17,4.34.1,positive,aplikasi bagus banget diskonn anak sekolah
Jang Solehudin,Aplikasi apa ini saya selalu pake tapi gak ada promonya selalu mahal,2,2022-06-01 15:13:43,4.43.3,negative,aplikasi pake promonya mahal
Endang Tarya,Ok banget ,5,2022-02-16 01:14:10,4.37.1,positive,ok banget
Emen Df,Lodinya lama mau cek makanan di menunya lodingy minta ampun,1,2022-08-25 07:14:02,4.50.1,negative,lodinya cek makan menu lodingy ampun
Broto Manikmoyo,Drivernya gesit,5,2023-04-19 05:48:09,4.55.2,positive,drivernya gesit
Derys,Kalo lagi padat merayap dan aplikasi overload mohon di down kan saja di awal saat ingin membuka aplikasi sebel banget saya rasanya ingin berkata kasar udah tau lagi butuh cepet eh malah gangguan eror kalo gangguan langsung aja otomatis cancel,1,2023-04-06 09:43:58,4.59.1,negative,padat rayap aplikasi overload down buka aplikasi sebel banget kasar butuh cepet eh ganggu eror ganggu aja otomatis cancel
Hanzo Hasashi,Gamenya bagus banget,5,2022-12-24 04:47:14,4.58.1,positive,gamenya bagus banget
Windi Andita,Sangat mengecewakan Kalo bisa jgn pakai gopay sebab klo topup sering gak masuk dan kita suruh nunggu 2 hari Gak cocok utk transaksi uang elektronik,1,2022-03-14 08:25:18,4.36.1,negative,kecewa pakai gopay topup suruh nunggu cocok transaksi uang elektronik
Surlikah Surlikah,Bagus sekali bund,5,2022-04-24 14:43:20,4.41.1,positive,bagus bund
Haris Ice latukoncina,Bagus ok lah,5,2022-08-04 23:45:40,4.40.1,positive,bagus ok
BELMAR TV,Sangat membantu,5,2023-12-09 02:03:56,4.78.3,positive,bantu
Ivit Vioneta,Tolong utk kantor Gojek tolong diperbaiki Kalo titik penjemputan Kadang2 saya selalu salah atau suka mentalnya jauh banget Istilah katanya ga sesuai Terkadang driver sama castumer suka marah Ya seperti itu sicnyalnya suka mentalmental intinya ,5,2023-09-28 00:23:05,4.75.1,positive,tolong kantor gojek tolong baik titik jemput kadang salah suka mental banget istilah sesuai terkadang driver castumer suka marah sicnyalnya suka mentalmental inti
Sumarwan Marwan,Good App,5,2024-01-28 07:01:31,4.81.2,positive,good app
BTG Channel,Ongkir terlalu mahal  diskon ongkir juga dikit,3,2023-05-18 04:40:28,4.66.1,neutral,ongkir mahal diskon ongkir dikit
Dedy Kristiawan,Tolong titik map di update agar lebih akurat,5,2022-08-13 07:01:13,4.49.2,positive,tolong titik map update akurat
H 410 HO Chanel,Mantap dah pokoknya,5,2022-01-15 07:32:03,4.34.1,positive,mantap pokok
Ha fiz,Aplikasinya selalu ngfreeze,3,2023-09-30 22:26:07,4.75.1,negative,aplikasi ngfreeze
Anisa Nurmala,Gimana cara laporin driver yg kurang ajar Goride,1,2023-12-05 10:18:42,4.74.2,negative,gimana laporin driver ajar goride
Guntur Prasetyo,ditingkatkan lagi untuk pencarian driver soalnya agak lama dapat driver,5,2022-01-28 09:28:51,4.35.1,positive,tingkat cari driver driver
I Putu Tirtayasa,Gojek memang bagus sekali,5,2023-09-16 06:38:17,4.66.1,positive,gojek bagus
Rius Insantuan,Lumayan cepat,5,2022-07-12 15:52:53,4.46.2,positive,lumayan cepat
Dyan Widya Kusuma,Maaf Aplikasi ini sangat tidak worth sekarang untuk GoFood Pemesanan sangat lama dan bahkan tidak bisa di batalkan dan diminta menunggu 1 jam pemesanan makanan Maaf saya Uninstall ,1,2023-09-04 13:40:21,4.73.1,negative,maaf aplikasi worth gofood mesan batal tunggu jam mesan makan maaf uninstall
Rhoman Anto,Sangat membantu dengan ada nya driver gojek,5,2022-08-09 14:33:48,4.39.2,positive,bantu driver gojek
Mama Rere,Sangat membantu,5,2022-04-15 10:56:53,4.34.1,positive,bantu
ara bia,Gimana si mau update ke gopay plus gk bisa2 masukin KTP nya kecewa pake gojek,1,2023-08-10 14:22:19,4.69.1,negative,gimana si update gopay plus masukin ktp kecewa pake gojek
Rian Aditya,ga bisa masuk akun,1,2023-12-21 12:34:14,4.80.4,negative,akun
ERJE chanel,Sangat membantu,5,2023-10-24 09:33:57,4.77.1,positive,bantu
Iin Supriyantini,Aplikasi gojek ini sangat membantu sy dlm transportasi dan lain nya terutama tranportasi krn sgd terjangkau harganya sesuai dg isi dompet kami di daerah Bali dan sekitarnya yg penghasilan UMR perbulan kami sgd minim ok smoga Gojek smakin jaya dan sukses pertahankan serta tingkatkn visi misi serta pelayanannya,5,2022-11-06 18:24:38,4.44.1,positive,aplikasi gojek bantu dlm transportasi tranportasi sgd jangkau harga sesuai dg isi dompet daerah bal hasil umr bulan sgd minim ok smoga gojek smakin jaya sukses tahan tingkatkn visi misi layan
ali harozim,Saldo tiba ilang di gopay ga ada di gopay tabungan jg ga ada di cek di tokped ada tp giliran coba cekout barang saldo nya hilang jg coba chat ke cs ga ada respon,5,2023-12-30 06:45:46,4.80.4,positive,saldo ilang gopay gopay tabung jg cek tokped gilir coba cekout barang saldo hilang jg coba chat cs respon
Rahmad Putranto,Sangat OK,5,2022-09-22 00:38:00,4.52.2,positive,ok
Adi Junaedi,Ok,5,2023-04-19 14:55:43,4.65.2,positive,ok
Tri murti Astuti,Mantap,5,2023-02-23 13:47:47,4.62.1,positive,mantap
Arif dino April,Gojek aplikasi ini sudah semakin membaik lanjutkan kedepannya untuk menjadi lebih baik lagi,4,2023-07-30 15:52:27,4.71.2,positive,gojek aplikasi baik lanjut depan
Triahdev l,Gooooood,5,2022-02-19 10:05:32,4.37.1,positive,gooooood
Bang Rybas,Ini aplikasi jasa paling parah Cuma modal aplikasi yg jalanin driver yg kerja driver tp yang di RAMPOK konsumen Dari harga resto dapat komisi 20  dari driver dapat 20 juga eh biaya aplikasi di kenakan biaya juga ketika pesan gofood Kurang kah masih untungmu JEK,1,2023-09-10 12:34:18,4.73.1,negative,aplikasi jasa parah modal aplikasi jalanin driver driver rampok konsumen harga resto komisi driver eh biaya aplikasi kena biaya pesan gofood kah untung jek
Cornelia Stefani,sekarang apa semua driver sengaja tidak menyiapkan uang kembalian  tolong diperhatikan ya bukan pelit tapi kembalian itu berharga kalau hanya 500 1000 gak jadi masalah tapi saya selalu dapat driver alasannya tidak ada uang kembalian supaya mendapatkan uang lebih,1,2022-01-11 11:37:45,4.34.1,negative,driver sengaja uang kembali tolong perhati pelit kembali harga driver alas uang kembali uang
Nur Saifullah,Have to travel,5,2022-10-09 16:47:36,4.50.1,positive,have to travel
Zinitshu Nimo,Mantab,5,2022-12-16 08:24:55,4.57.1,positive,mantab
Maryanto 1981,Cepat,5,2022-12-10 04:02:08,4.57.1,positive,cepat
Dedi Irawan,The best,5,2022-09-03 19:02:01,4.50.1,positive,the best
Atikah permata sari,Gojek kenapa kalo pesen selalu lama yaa,2,2022-11-26 00:56:52,4.54.2,negative,gojek sen yaa
Lenny Fauziah,Mantab,5,2022-04-15 07:28:18,4.40.1,positive,mantab
taashامي,Ok,5,2022-03-03 08:57:30,4.34.1,positive,ok
Kuni Afifah Hasan,Sangat terbantu dengan gojek Hanya saja tarifnya lumayan ya sekarang,5,2022-06-13 03:48:48,4.45.1,positive,bantu gojek tarif lumayan
Pengguna Google,Sangat membantu sekali ,5,2023-08-19 05:07:23,4.72.1,positive,bantu
Andri Nasution,Good,5,2023-08-30 17:50:03,4.67.2,positive,good
Arohman2 Arohman,Kurang memuaskan,3,2021-11-12 09:20:04,4.29.1,positive,muas
Desi Ratnasari,Sangat puas,5,2022-03-23 11:33:15,4.39.2,positive,puas
Moody Blues,ga jelas ga guna respon sangat lambat bikin rugi customer kalo bemerin itu server masa iya laper nya sekarwng refund suruh nunggu 2 hari ga jeals bgt sumpah,1,2022-04-27 16:54:40,4.41.1,negative,respon lambat bikin rugi customer bemerin server iya laper sekarwng refund suruh nunggu jeals banget sumpah
Alie Alie,Bagus,5,2022-02-16 06:15:19,4.16.1,positive,bagus
anakrantau vlog,Bagus banget cuma ada satu kendala ternper pernah mauk tapi ke rekening yg di tuju ga masuk ilang tuh duit nya,3,2022-08-14 23:23:55,4.49.2,neutral,bagus banget kendala ternper mauk rekening ilang tuh duit
Muhammad Iswahyudi,Ok lah,5,2022-09-16 12:20:47,4.51.1,positive,ok
Maulina HD,Recommended,5,2022-04-11 13:56:08,4.40.1,positive,recommended
Reffy_ A.,Membantu tapi ya kadang ada aja ojol ngeselin,5,2022-04-16 19:40:26,4.40.1,positive,bantu kadang aja ojol ngeselin
Agustian Satria,Maju terus aplikasiku zeyengg,5,2023-04-29 05:51:30,4.65.2,positive,maju aplikasi zeyengg
Yunia Alfiati,oppppppppppoi,1,2022-02-14 12:56:42,4.35.1,negative,oppppppppppoi
Michael Darmawongso,Banyak discount2nya sisa buka aplikasi dan belanja dari rumah sjaAman dan lebih murahmksih,5,2021-12-22 09:51:53,4.34.1,positive,discountnya sisa buka aplikasi belanja rumah sjaaman murahmksih
Maria Valerie,Kasi promo banyak banyak jangan pelit,5,2022-03-17 09:13:31,4.30.1,positive,kasi promo pelit
Novita Nurul,Bagus pelayanannya,5,2022-02-06 05:32:47,4.36.1,positive,bagus layan
Erpi Anto,Sistem gojek aneh aplikasi gojek g pernah di pake giliran mw dipake g bisa alasan aplikasi terindikasi ada aktivitas yg tdak wjar tdak wajar ny gmna g jelas aplikasi pernah di pake di banding udh g bisa aplikasi g jelas gopatner makin g jelas aplikasi busuk,1,2022-10-17 22:38:57,4.54.2,negative,sistem gojek aneh aplikasi gojek pake gilir mw dipake alas aplikasi indikasi aktivitas tdak wjar tdak wajar ny aplikasi pake banding aplikasi gopatner aplikasi busuk
Tri Oktaviani,Banyak kupon nya ,5,2022-03-28 06:16:47,4.39.2,positive,kupon
Hisyam Chanel,Pelayanan ok,5,2022-03-08 04:53:11,4.38.2,positive,layan ok
PURNAMA CHANEL,Mantap,5,2022-03-02 04:17:05,4.30.1,positive,mantap
Muhamad Haidin,Main knph eror ya gojek nya,3,2022-11-03 09:23:35,4.54.2,negative,main knph eror gojek
NURIS IVAN,Mantap,5,2021-12-13 23:46:57,4.33.1,positive,mantap
Ferdy F,Wihh jamin mantep,5,2022-09-14 10:39:27,4.51.1,positive,wihh jamin mantep
Sadewo,Terimakasih atas layanan Gojek yang baik dan sangat membantusampai saat ini saya merasa nyaman dan tidak ada kendala apapunTerimakasih Gojek,5,2021-12-07 14:17:46,4.33.1,positive,terimakasih layan gojek membantusampai nyaman kendala apapunterimakasih gojek
Erniwaty Gabe,lancar jaya,5,2023-05-20 15:56:45,4.66.1,positive,lancar jaya
Ali Kusnin,Okey,5,2022-04-20 07:19:23,4.39.2,positive,okey
san aliyah,Sangat membantu,5,2022-11-24 21:09:40,4.56.1,positive,bantu
Daniel Mujiispriyanto,Sangat membantu saya aplikasi Ini,5,2022-02-27 06:19:40,4.25.2,positive,bantu aplikasi
Anugrah apriliansyah,Bagus dan orang nya ramah ramah,5,2022-06-08 02:45:28,4.45.1,positive,bagus ramah ramah
Sri Sulistyanti,Dah lama ga dipake baru mau pake lagi,5,2022-01-04 02:19:20,4.34.1,positive,dipake pake
Wida Nengsih,App ni bagus banget memudahkan transfortasibila di kejar waktu dan tolong yang g tau arah jalan jangan jadi driver ,3,2022-07-01 23:30:06,4.41.1,positive,app ni bagus banget mudah transfortasibila kejar waktu tolong arah jalan driver
